Indicator Name,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Age dependency ratio (% of working-age population),88.0230215324859,88.7900344037678,89.6650434662529,90.0855179898717,90.7509467296865,90.1836454889938,89.8591468259676,86.6164296718931,84.8502717870378,87.8935848667846,90.5376060317158
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,,,,19.3553828846029,23.1849000884845,25.5312676957665,26.792515615854,27.8662289622088,25.121243656749,28.8033227894877
GDP growth (annual %),,,,,,13.4547625007102,21.2214111876814,2.8583790589487,9.25883856340832,7.90868457794079,1.77258309100318
GDP per capita growth (annual %),,,,,,9.95466994106025,17.5536356070169,-2.79691785991288,3.96150472866739,6.72181364621743,0.452407592557293
"Inflation, GDP deflator (annual %)",,,,,,-1.38317062735574,10.4321476871899,9.81004035440252,9.07483488878513,3.89715179110848,9.10917293901807
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,
Military expenditure (% of GDP),,,,,,21.3291139240506,12.7159420289855,19.5391124143288,20.3448190649491,11.8604149677876,32.4970666110039
"Official exchange rate (LCU per US$, period average)",2.07182506752915,2.07182506752915,2.07182506752915,2.07182506752915,2.80497089456543,5.00440837567428,5.46981835461199,6.16376298270549,6.35727511391219,6.75882178395591,7.36193041666667
"Population, female (% of total population)",51.1172678517532,51.1170015742198,51.1145317864534,51.100844928372,51.0773048809505,51.0342100187176,50.9918674549288,50.9249891495788,50.8693123303941,50.8528279372939,50.9133111174096
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),,,,,56.3771893721132,102.060001634922,110.881778212018,105.322628605412,116.617520301229,115.414776658722,94.9275656742685
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),17.592,18.239,18.905,19.59,20.294,21.015,21.755,22.514,23.293,24.088,24.903
