Indicator Name,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998
Age dependency ratio (% of working-age population),84.9297451382299,86.1750552048182,87.3884981660236,88.6118518916132,89.9573069229017,91.3026375824599,92.4075678763378,93.1282578838801,93.6669700593597,94.3617418994778,95.0394915407528,95.1171465434969,95.4757038632148,95.886756053368,95.8232624599868,95.8926378892905,96.4787220417645,97.0730362422405,97.6212396687544,98.243007722384,99.0924680813357,100.047919167455
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,,,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,,,,47.1758923635809,49.6471547793914,43.3007948756543,71.5033855542775,90.2523100095927,80.6182076424932,70.3936489385985,67.7317426757118,76.0638442706389
"Energy imports, net (% of energy use)",,,,,3.44400158294332,3.08167992778137,3.16631449005577,3.07311099425372,2.67518135670391,2.65715450338483,2.58758977965821,3.38606528433409,3.47458247157008,3.55033136048128,3.40089152154028,2.2449679995519,2.73662934443893,3.0482712924944,3.3432463542146,3.51350821346144,3.31172326946544,3.32510783279653
GDP growth (annual %),4.06158788001318,4.14218784379459,1.38865740774854,3.48272874063258,6.5264761637235,4.22715958999223,5.10986950748801,3.27365832432483,1.24613171483632,0.148810316081565,2.72568162583818,0.503674879297762,-0.36104417975227,2.72645178272658,-7.13747970027428,-8.67248014788842,13.1428339765154,3.18996458217961,6.12751141376545,12.4261737774646,3.13390685087593,-3.45813913371742
GDP per capita growth (annual %),1.35005724435358,1.30452908796789,-1.36262412612152,0.669468375168478,3.65482353629076,1.47906696670449,2.34969399999414,0.636585361810376,-1.19852341461882,-2.34815489377266,0.76560608752925,-3.34518199788333,-4.11569691071389,-1.0064688929518,-11.0737930131849,-12.4354815219745,9.23479853421722,-0.340437449778463,2.57532695955953,8.77685691388592,-0.119280616504753,-6.44288564669758
"Inflation, GDP deflator (annual %)",1.77294449289032,2.19274237060215,4.24105256872156,6.2793772639692,-0.869609635257675,-3.37743356623034,0.38306367133751,7.39299890729632,-1.2342925267514,7.85249113974946,11.2882834007546,3.10550371429636,5.58473189935049,3.27137461018934,19.0842902283411,15.5322258683715,13.3768642296366,2.93108171424225,12.706369018741,0.239138038731895,0.20665555091621,-0.150146937642802
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,,,,,,,,,,,,27.0,,,,
Military expenditure (% of GDP),2.48622496976213,2.1956163689345,2.02066455324645,1.88310980263875,1.90607150412524,1.93641025641026,1.92555408221254,2.79458239277652,4.49206211503427,4.13172252533126,3.96778085302675,8.5014361098123,10.2766484563588,9.6579698086295,5.70513154467309,3.44170834936514,3.07168835064302,2.86843870238978,2.22561605430131,2.11713848911382,3.3431774775412,7.27693614895529
"Official exchange rate (LCU per US$, period average)",2.5000000015,2.5000000015,2.5000000015,2.5000000015,2.49347500129167,2.299999999,2.098749999,2.069999999,2.069999999,2.069999999,2.069999999,2.07,2.07,2.07,2.07,2.8025,5.0,5.465,6.15833333333333,6.351675,6.70934166666667,7.11590833333333
"Population, female (% of total population)",51.0267648951167,51.0356318814728,51.0438129811835,51.0508881198146,51.0564331474855,51.0611818207072,51.0661212323421,51.0722488033023,51.0808112900654,51.0921603085078,51.1039949260826,50.8279007056402,50.7510458167645,50.6841812289137,50.5992594353366,50.5114336288947,50.4411429675369,50.3769282721675,50.3217510912132,50.271925224536,50.2222726564236,50.1750715415533
Real interest rate (%),,,,,,,,,,,,2.80731501368175,0.393303172891858,2.64218947419863,-10.9874192500558,-6.51958863577435,0.549614574893553,11.0775593039487,2.10898845849346,13.6448984853101,10.2721165500366,10.6661618530292
Trade (% of GDP),,,,,,,,,,,,,,,,,,,,,,
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,,,,,,,,3.0,,,,
Urban population (% of total population),8.1,8.26,8.422,8.588,8.756,8.928,9.102,9.279,9.46,9.644,9.83,12.143,12.38,12.621,12.867,13.116,13.37,13.627,13.827,14.006,14.186,14.369
