Indicator Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980
Age dependency ratio (% of working-age population),92.5218611795693,91.7350019071933,90.7059557750523,89.4535030005982,88.1524387242486,86.9721412219126,86.2535552141234,85.9390420241955,85.8551156952198,86.1398248263411,86.6872613568139
CPIA gender equality rating (1=low to 6=high),,,,,,,,,,,
"Central government debt, total (% of GDP)",,,,,,,,,,,
"Energy imports, net (% of energy use)",,-1337.5665861628,-1538.46613595848,-1400.64650798334,-1198.35632399991,-969.619133558216,-933.969814852068,-785.969202666296,-743.074430830312,-361.617806174747,-112.191597279949
GDP growth (annual %),10.9276016296551,13.7015829939221,14.4990158486367,7.44168161210865,5.80105084782075,-0.326216240773419,18.2604356281608,-2.77357769163498,-12.8408566742288,-12.020760254792,-21.5996493516923
GDP per capita growth (annual %),7.61018311754719,10.3545296661411,11.1956007999837,4.34172024333226,2.71498847983625,-3.29408122979375,14.7493531427004,-5.73884281725691,-15.6424031240761,-14.9936654787791,-24.388705075427
"Inflation, GDP deflator (annual %)",1.55878076289126,10.0290110109024,9.09944569497871,33.6208998922457,58.3299552849175,13.313723899842,15.0082371809564,21.8878191407871,10.8597474859574,31.7304708879396,35.2313134939615
"Literacy rate, adult total (% of people ages 15 and above)",,,,,,,37.0,,,,
Military expenditure (% of GDP),5.85690329096248,3.04701247800352,2.27537027764767,1.86470541876358,8.75035024750824,12.0691929092555,11.2479723346227,10.1898301489818,11.1132050910914,5.79724702809783,5.34315018542368
"Official exchange rate (LCU per US$, period average)",75.75000007575,75.7500000694375,75.7499701345202,68.8860419482585,67.641342246617,67.6549455324406,70.2390698610516,70.6337318788855,70.4920309761581,70.4920309761581,70.631848089676
"Population, female (% of total population)",48.5726657311178,48.5701588494083,48.5675578077912,48.5657778786437,48.565078496422,48.5424876681705,48.5207208107662,48.5152845221246,48.5094838101504,48.5166318876174,48.5449945138742
Real interest rate (%),,,,,,,,,,,
Trade (% of GDP),39.6670145482826,44.4280295106169,44.4534498683932,54.0978869207947,71.4046881059517,76.115623426707,65.4350811254258,59.8880783648982,45.6945656371976,42.8058267760622,42.4826738676348
"Unemployment, male (% of male labor force) (national estimate)",,,,,,,,,,,
Urban population (% of total population),41.212,42.11,43.014,43.92,44.832,45.747,46.666,47.47,48.21,48.951,49.693
