Years,Age dependency ratio (% of working-age population),"Energy imports, net (% of energy use)",GDP growth (annual %),GDP per capita growth (annual %),"Inflation, GDP deflator (annual %)",Military expenditure (% of GDP),"Official exchange rate (LCU per US$, period average)","Population, female (% of total population)",Real interest rate (%),Trade (% of GDP),Urban population (% of total population),years_before_the_war
1968,116.473928206402,,33.8639151717893,30.1222973365551,5.48347649914098,2.85594639865997,0.357142999,48.7993277279941,1.43768820595458,,43.07,10
1969,118.203710223426,,13.0878908208299,9.63443973890143,0.606235009802575,3.76288659793814,0.357142999,48.8120149352651,6.35523731662799,,46.352,9
1970,118.315274819275,,4.95074891903874,1.50901540936657,0.0820004098746523,6.07293127629734,0.357142999,48.8469880518912,6.91233145000445,,49.671,8
1971,118.09551490895,-8657.83213866059,-5.27752502339565,-8.39801719450381,20.4036993165453,5.32267977873387,0.356325749,48.8761026647839,-11.1322985860314,,52.992,7
1972,117.901128223601,-5127.29523488834,9.12584054018133,5.56900319073159,1.30914858930022,3.70967741935484,0.328946999,48.896518605933,5.6173124440815,,56.292,6
1973,113.92088548797,-4232.41593498038,1.93661971417217,-1.94413702049,22.5202126576379,3.98486197684773,0.300025999,48.9809622620067,-12.6674712041241,,59.528,5
1974,109.363828477725,-2665.92330300823,22.1934369650876,16.2642535826649,41.4794762030237,3.2912696368787,0.296050999,48.9252371607562,-24.3706558211634,,61.237,4
1975,107.278237669571,-2049.86894144086,4.0282685479679,-1.60871508404968,-6.42697471645167,2.25396825396825,0.296050999,48.6837541161849,14.349193772206,,62.785,3
1976,105.358708760152,-2974.2787260469,22.8809523817653,16.1219145495386,5.64274382213941,1.96861626248217,0.296050999,48.4496572698372,1.28476043763656,,64.31,2
1977,103.580761961955,-2516.78702749995,8.85272018683338,2.79738240827292,7.89297342503647,2.46399444733646,0.296050999,48.2263434081789,-0.827647433089709,,65.802,1
1978,102.307378773971,-2121.95581178921,3.30491881279562,-2.4819010152931,-4.45892208893788,3.79922644163151,0.296050999,48.0145466362787,11.9937123795116,,67.265,0
